id,fname,lname,DOB,ss,street,postal_code,city,state
1,Lois,Perry,5/6/1934,173-27-3211,2 Arkansas Point,99599,Anchorage,AK
2,Todd,Kim,7/1/1948,591-76-6009,81 Maywood Plaza,93704,Fresno,CA
3,Sharon,Perez,4/7/2000,720-80-2564,92795 Killdeer Plaza,43231,Columbus,OH
4,Christopher,Duncan,4/16/1973,142-33-3622,5 Annamark Road,15210,Pittsburgh,PA
5,Amanda,Gibson,7/9/1999,685-78-7113,9403 Grasskamp Alley,70187,New Orleans,LA
6,Thomas,Williamson,7/30/1966,330-91-0444,832 Bultman Point,90076,Los Angeles,CA
7,Frank,Ellis,5/22/1965,888-56-0946,1 Monterey Way,63131,Saint Louis,MO
8,Barbara,Mason,6/29/1929,176-46-5149,89652 Arrowood Pass,91210,Glendale,CA
9,Tammy,Reynolds,10/10/1982,675-03-7780,0 Vera Junction,95210,Stockton,CA
10,Adam,Jordan,6/26/2012,912-59-1397,0135 Reinke Hill,79699,Abilene,TX
11,Victor,Bennett,3/27/1943,162-20-1234,661 Melby Park,75236,Dallas,TX
12,Jacqueline,Long,12/8/1924,253-81-2797,38221 Algoma Plaza,88558,El Paso,TX
13,Judy,Bailey,11/2/1943,495-41-8636,5 Clove Hill,99512,Anchorage,AK
14,Stephen,Greene,1/5/1978,440-94-7736,7 Stuart Hill,40293,Louisville,KY
15,John,Hunt,8/8/1975,859-96-1436,09 Blue Bill Park Parkway,20525,Washington,DC
16,Joe,Carroll,3/11/1973,545-22-8347,90 Vermont Point,76178,Fort Worth,TX
17,Samuel,Allen,6/11/1945,131-72-8011,6 Golf Course Hill,20530,Washington,DC
18,Sean,Lewis,1/31/1979,832-20-3888,475 Heffernan Road,33175,Miami,FL
19,Dennis,Peters,12/8/1998,343-82-4917,93789 Autumn Leaf Drive,79605,Abilene,TX
20,Roy,Sullivan,4/18/1928,483-35-8738,5199 Colorado Court,64125,Kansas City,MO
21,Carolyn,Fuller,3/25/1981,176-19-9067,1993 Burning Wood Point,53785,Madison,WI
22,Steven,Morgan,2/29/1932,941-88-3031,75884 Homewood Parkway,78296,San Antonio,TX
23,Nancy,Moore,1/8/1947,745-50-3853,5307 Esker Alley,90005,Los Angeles,CA
24,Frances,Wagner,2/8/1993,575-33-4760,34844 David Hill,70116,New Orleans,LA
25,Antonio,Kelley,9/30/1968,320-12-0701,162 Bartelt Hill,44118,Cleveland,OH
26,Scott,Andrews,3/2/1962,449-93-7719,8043 Westport Place,36177,Montgomery,AL
